epoch,beta,learning_rate,beta_learning_rate,epoch_duration,D_KL,D_KL_noisy
1,0.939,0.1,0.1,2.013722,0.26813266461772894,0.26732497924670373
2,0.848,0.1,0.1,2.057796,0.17608669976214625,0.17577637710076358
3,0.762,0.1,0.1,2.021872,0.10351234271623545,0.10324098545797207
4,0.709,0.1,0.1,2.018841,0.05224735746305562,0.051746218828444816
5,0.671,0.1,0.1,2.029039,0.05555315221156924,0.05537250935573624
6,0.644,0.1,0.1,2.022161,0.0525038797379111,0.05260590516631836
7,0.619,0.1,0.1,2.031665,0.04635354442017151,0.04719663737077678
8,0.602,0.1,0.1,2.018389,0.04135335384925974,0.04134064275567566
9,0.585,0.1,0.1,2.022448,0.04081957719785535,0.040848352393216734
10,0.577,0.1,0.1,2.016117,0.0514547080213276,0.051317485063444516
11,0.561,0.1,0.1,2.014682,0.031227898354485244,0.030168512746835723
12,0.551,0.1,0.1,2.045321,0.039470713615433826,0.03935745667770922
13,0.541,0.1,0.1,2.016691,0.03691395271615031,0.036844067821120825
14,0.53,0.1,0.1,2.016191,0.029203190900893378,0.03033481195713602
15,0.525,0.1,0.1,2.02083,0.023336785024655436,0.023140604542264874
16,0.522,0.1,0.1,2.01188,0.024691101732243443,0.02474187540341025
17,0.52,0.1,0.1,2.028253,0.025204866568268418,0.025087510683415797
18,0.517,0.1,0.1,2.052182,0.02385920711771457,0.023174868098904806
19,0.513,0.1,0.1,2.018593,0.02426585369551418,0.024737265102771692
20,0.516,0.1,0.1,2.024267,0.028573668206145098,0.028849634722488485
21,0.511,0.1,0.1,2.094493,0.02163810022164873,0.021933616195170254
22,0.51,0.1,0.1,2.020511,0.018625175828454535,0.018070482101057165
23,0.506,0.1,0.1,2.015206,0.024313422671519827,0.024914819826987875
24,0.505,0.1,0.1,2.019299,0.019496077284300316,0.018695151752904177
25,0.502,0.1,0.1,2.017332,0.016067191753488915,0.01626062030038905
26,0.5,0.1,0.1,2.019422,0.021841376830337995,0.022836604643242983
27,0.498,0.1,0.1,2.022277,0.020773442445951425,0.020178174283386082
28,0.499,0.1,0.1,2.01955,0.017174087158481104,0.016790938293679718
29,0.503,0.1,0.1,2.018721,0.018417099868709777,0.018366925551253598
30,0.503,0.1,0.1,2.024697,0.01654459941250759,0.01619286158544949
31,0.502,0.1,0.1,2.050626,0.01731010902925372,0.016434777313720655
32,0.503,0.1,0.1,2.023,0.018162671457896778,0.018096952945299793
33,0.503,0.1,0.1,2.025858,0.019690398312156118,0.019059246455293066
34,0.497,0.1,0.1,2.024858,0.015432029808446273,0.015568826023763863
35,0.499,0.1,0.1,2.032439,0.01881917349782471,0.01825946138070781
36,0.497,0.1,0.1,2.025122,0.02016652739133975,0.020841494593848518
37,0.496,0.1,0.1,2.02154,0.015028487772558594,0.014536861126390474
38,0.495,0.1,0.1,2.017282,0.013199404440895214,0.012938373682792376
39,0.496,0.1,0.1,2.02117,0.01748285756488859,0.017789616173573428
40,0.499,0.1,0.1,2.051067,0.015077956316774365,0.014362524158557387
41,0.499,0.1,0.1,2.017868,0.013387303140299596,0.013401033107601662
42,0.503,0.1,0.1,2.016865,0.018638838574797863,0.019192409951939077
43,0.499,0.1,0.1,2.014662,0.011789463426466409,0.010885721809185796
44,0.499,0.1,0.1,2.016259,0.015847097308094957,0.01583941423736111
45,0.5,0.1,0.1,2.02312,0.012935705987638442,0.012965647384762654
46,0.499,0.1,0.1,2.01596,0.015939682460421996,0.016230593896310652
47,0.501,0.1,0.1,2.015739,0.012628072164423597,0.011909596808984556
48,0.503,0.1,0.1,2.021606,0.015714689625319373,0.014954461318777234
49,0.503,0.1,0.1,2.014887,0.013443020372835868,0.013603991155644316
50,0.508,0.1,0.1,2.047007,0.015474992680530354,0.015523485017146947
51,0.506,0.0933,0.0966,2.064187,0.008265370768986749,0.008290617194159687
52,0.501,0.0871,0.0933,2.051784,0.008752753115446698,0.008825977220195185
53,0.498,0.0812,0.0901,2.022658,0.01166064696920062,0.011220634608411374
54,0.496,0.0758,0.0871,2.020979,0.01291950643484914,0.012935633283429641
55,0.496,0.0707,0.0841,2.016154,0.013660557184449163,0.013707093421098503
56,0.497,0.066,0.0812,2.018136,0.011684739312774205,0.011227563603761022
57,0.497,0.0616,0.0785,2.026563,0.00957007375627482,0.010402961011847199
58,0.499,0.0574,0.0758,2.017382,0.011993045910550367,0.01212996237100626
59,0.497,0.0536,0.0732,2.053702,0.011296953005369072,0.010601301256767746
60,0.497,0.05,0.0707,2.017849,0.012039550247366679,0.012267827051683593
61,0.498,0.0467,0.0683,2.017494,0.012671214121014202,0.012083873285900541
62,0.5,0.0435,0.066,2.01953,0.010228807438687629,0.010522349740558856
63,0.5,0.0406,0.0637,2.022314,0.010022206906368425,0.010501504695872127
64,0.498,0.0379,0.0616,2.025714,0.009054924679436001,0.008544583520260145
65,0.497,0.0354,0.0595,2.023247,0.01115000935454705,0.011531697419169212
66,0.499,0.033,0.0574,2.024861,0.007266254124081353,0.007372644587549602
67,0.5,0.0308,0.0555,2.020144,0.009609043396086429,0.009920073476083674
68,0.502,0.0287,0.0536,2.023129,0.009897892307439602,0.010746288798766575
69,0.501,0.0268,0.0518,2.05355,0.012466410544841084,0.012243716486839648
70,0.5,0.025,0.05,2.022104,0.007403303481542907,0.006926435399364162
71,0.5,0.0233,0.0483,2.021212,0.008735351379142152,0.008190594164329391
72,0.499,0.0218,0.0467,2.024338,0.009712039977421993,0.009204134834939273
73,0.498,0.0203,0.0451,2.025899,0.008899702085518569,0.008761151230811516
74,0.498,0.0189,0.0435,2.023541,0.011911453022002881,0.011982029009411203
75,0.498,0.0177,0.042,2.024596,0.00925112799378578,0.00928947339345079
76,0.498,0.0165,0.0406,2.021185,0.00764554843335999,0.007959140057878001
77,0.498,0.0154,0.0392,2.023632,0.008380070271594804,0.008286571217533758
78,0.498,0.0144,0.0379,2.048295,0.008346669206529942,0.0089734362451086
79,0.497,0.0134,0.0366,2.019859,0.008701999979188904,0.008469671562569926
80,0.497,0.0125,0.0354,2.021562,0.009741451311761325,0.011001535895056135
81,0.497,0.0117,0.0342,2.020804,0.0074273780371987815,0.007640211711081285
82,0.496,0.0109,0.033,2.04726,0.008179873379387763,0.007651294601179622
83,0.497,0.0102,0.0319,2.03912,0.009663623107649828,0.009028176858619272
84,0.497,0.00947,0.0308,2.019192,0.006512248810270297,0.00665348501789189
85,0.498,0.00884,0.0297,2.050638,0.007103043663570798,0.006891312270907873
86,0.497,0.00825,0.0287,2.04908,0.006812840865253872,0.007069841112299918
87,0.497,0.00769,0.0277,2.021485,0.009577302202939479,0.009713921015226251
88,0.497,0.00718,0.0268,2.047871,0.008101774983694876,0.00796536052736644
89,0.497,0.0067,0.0259,2.019209,0.007452724100562235,0.006929327241528033
90,0.497,0.00625,0.025,2.015671,0.007960308700083796,0.007102885087740863
91,0.497,0.00583,0.0241,2.019394,0.006501568747025008,0.006178311270991497
92,0.497,0.00544,0.0233,2.026408,0.008716722770581175,0.00904492216774291
93,0.497,0.00508,0.0225,2.023763,0.009944825496999607,0.00995187236906471
94,0.497,0.00474,0.0218,2.02065,0.008147639291596264,0.007424769902240271
95,0.497,0.00442,0.021,2.043108,0.011746449660731052,0.011733040123656644
96,0.497,0.00412,0.0203,2.018738,0.006616416669986779,0.006709075359851197
97,0.496,0.00385,0.0196,2.055366,0.007788387386828884,0.007246458668728317
